         17128 function calls (16968 primitive calls) in 88.684 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      107    0.000    0.000    0.000    0.000 connection.py:169(fileno)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        9    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
        8    0.000    0.000    0.000    0.000 <frozen ntpath>:268(basename)
        1    0.000    0.000    0.000    0.000 connection.py:448(Listener)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        1    0.000    0.000    0.000    0.000 file_handler.py:13(get_files_in_directory)
        2    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      233    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 pool.py:809(_set)
        1    0.000    0.000    0.000    0.000 pool.py:183(__init__)
       61    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        3    0.000    0.000    0.000    0.000 contextlib.py:530(callback)
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        8    0.000    0.000    0.000    0.000 process.py:350(__reduce__)
        3    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       16    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      382    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       14    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.000    0.000 __base.py:63(_config_logs)
        3    0.000    0.000    0.000    0.000 tempfile.py:76(_exists)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        3    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1171(exec_module)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        6    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       16    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       32    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 contextlib.py:475(_create_cb_wrapper)
        1    0.000    0.000    0.000    0.000 subprocess.py:1335(_get_handles)
        3    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
      204    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       16    0.000    0.000    0.000    0.000 enum.py:1541(__and__)
        4    0.000    0.000    0.000    0.000 subprocess.py:300(_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 random.py:454(choices)
       16    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 <frozen runpy>:1(<module>)
        9    0.000    0.000    0.000    0.000 subprocess.py:218(Close)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
      142    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
      179    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       54    0.000    0.000    0.000    0.000 _parser.py:261(get)
       55    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      232    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring}
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        8    0.000    0.000    0.000    0.000 popen_spawn_win32.py:99(duplicate_for_child)
       12    0.000    0.000    0.000    0.000 pool.py:385(_guarded_task_generation)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      130    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        8    0.000    0.000    0.000    0.000 <frozen ntpath>:257(splitext)
        4    0.000    0.000    0.000    0.000 threading.py:588(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:161(__delitem__)
      170    0.000    0.000    0.000    0.000 connection.py:135(_check_closed)
    17/10    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       16    0.000    0.000    0.000    0.000 __init__.py:674(formatMessage)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       89    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      118    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
